Area,ShopName,Address,lng,lat
전라남도,순천연향3지구점,전라남도 순천시 연향동 1686-2 1층 빽다방,127.5165213,34.9341330
경상북도,경산사동점,경북 경산시 사동 31번지 102호,128.7542799,35.8117150
강원도,원주건강보험공단점,강원도 원주시 반곡동 1913-7 가든식스.(1층 102호103호),127.9877528,37.3243718
경상북도,경북고령다산점,경북 고령군 다산면 평리6길 8,128.4550705,35.8299117
서울특별시,가산AP타워점,서울 금천구 가산동 673(가산디지털1로 16) 가산skv1ap타워 105호,126.8880013,37.4676212
경기도,평택시청점,경기 평택시 평남로 702 1층,127.1122459,36.9938924
경상남도,진주혁신점,경상남도 진주시 충무공동 282-3 동행빌딩 105호,128.1481805,35.1758988
전라남도,전남장성점,전라남도 장성군 장성읍 영천리 1038-5 1층,126.7822747,35.3005780
부산광역시,부산남구청점,부산광역시 남구 대연동 1766-10 ( 못골로 24-1 ),129.0850506,35.1354989
충청남도,아산온중로점,충남 아산시 온중로 47 1동 101호,126.9969074,36.7750684
서울특별시,가산그레이트점,서울 금천구 가산동 60-5 갑을그레이트밸리 105호,126.8875326,37.4795069
전라북도,완주봉동점,전라북도 완주군 봉동읍 장기리 216-6 1층,127.1683366,35.9389398
경기도,의정부발곡역점,경기 의정부시 장암동 20-14 1층,127.0534730,37.7263802
충청남도,천안성거점,충청남도 천안시 서북구 성거읍 성거길 107 1층,127.2018169,36.8749816
경기도,수원호매실능실점,경기 수원시 권선구 호매실로104번길 24-76,126.9631703,37.2595560
제주도,제주도남점,제주특별자치도 제주시 도남동 920-23,126.5281832,33.4976315
대구광역시,대구현풍테크노중리점,대구 달성군 현풍읍 테크노상업로 48,128.4550402,35.6927820
제주도,빽다방 빵연구소 제주연동점,제주시 연동 256-2 1층,126.4869470,33.4837494
강원도,원주흥업점,강원도 원주시 흥업면 흥업리 1830-3 1층,127.9204332,37.3009325
경기도,미사센트럴자이점,경기 하남시 풍산동 504(미사강변대로 84) 미사탑프라자 106호,127.1880566,37.5575356
충청남도,천안신방성지점,충청남도 천안시 동남구 서부대로 268 104~105호,127.1293675,36.7920285
경기도,성남상대원금상점,경기 성남시 중원구 금상로96번길 2 1층 104호,127.1658834,37.4422489
전라북도,전주인후점,전북 전주시 덕진구 인후동 1가 846-6 101호,127.1648670,35.8347089
대전광역시,대전비래점,대전 대덕구 비래동로15번길 2,127.4497521,36.3556403
경기도,안양예술공원점,경기 안양시 만안구 안양동 1327(예술공원로 138),126.9214237,37.4183847
경기도,오산세교금암점,경기 오산시 수청로 199 1층,127.0448233,37.1764456
대구광역시,대구칠곡팔거역점,대구 북구 팔거천동로 222 102호,128.5586626,35.9436448
경상남도,밀양미리벌점,경상남도 밀양시 삼문동 719-7 (미리벌 중앙로 46),128.7501851,35.4823209
전라남도,광양마동점,전남 광양시 마동 1053-5,127.6897303,34.9544281
광주광역시,광주첨단재활병원점,광주광역시 광산구 쌍암동 666-2 104호,126.8447316,35.2203223
서울특별시,용마산역점,서울시 중랑구 면목로 27길 4 (면목동 372-21),127.0851406,37.5751691
전라남도,목포상동점,전라남도 목포시 옥암로 182 1층​,126.4222153,34.8146086
강원도,강릉유천점,강원 강릉시 선수촌로 79-7 102호,128.8696073,37.7578307
경기도,수원정자시장점,경기 수원시 장안구 수성로 261번길 6,127.0010069,37.2902107
강원도,강릉포남점,강원 강릉시 포남동 1186-1 1층,128.9130181,37.7701190
경상남도,진주경상대후문점,경상남도 진주시 가좌동 868-25 (가좌길 17-1),128.1055562,35.1561348
경기도,안성아양점,경기도 안성시 옥산동 598(안성시 아양1로 77-10) 해천프라자 1동 103호,127.2583237,37.0078131
서울특별시,신림대학점,서울 관악구 신림로23길 21 (신림동 웰탑스터디독서실) 1층,126.9350602,37.4699786
부산광역시,부산광안하버뷰점,부산광역시 수영구 민락수변로 49 광안KCC스위첸하버뷰 104호,129.1261497,35.1536734
