Area,ShopName,Address
경상남도,양산세무서점,경남 양산시 물금읍 서들로 138 나래스타상가 105호 (가촌리 1301-4)
전라남도,전남나주중앙점,전라남도 나주시 나주로173 1층
서울특별시,하계을지병원점,서울 노원구 하계동 179-25 1층
충청남도,천안성정주공5단지점,충남 천안시 서북구 성정로 72
서울특별시,마포시민공원점,서울 마포구 망원동 419-3(망원로 19)참존아파트상가 105호
서울특별시,월계인덕대점,서울 노원구 월계로 334 102호
경기도,기흥역점,경기 용인시 기흥구 기흥역로 58번길 10
경기도,수원매교힐스테이트점,경기 수원시 팔달구 효원로93번길 33 2동 107호
경기도,안산서울예대점,안산시 단원구 고잔동 646  1층
경기도,파주봉서농협점,경기 파주시 파주읍 봉서리 828-5(통일로 1541)
전라남도,목포중흥S클래스점,전라남도 목포시 비파로 96 (상동) 110호
서울특별시,뚝섬상원길점,서울 성동구 상원길 50
세종특별자치시,세종고운남측점,세종특별시 고운동 1720 103호(세종시 마음로 70)
전라북도,삼례우석대점,전라북도 완주군 삼례읍 동학로 116
충청북도,청주방서점,충청북도 청주시 상당구 단재로 316 1층
경기도,화성반월반달마을점,경기 화성시 영통로26번길 15
서울특별시,잠실레이크팰리스점,서울 송파구 석촌호수로 144
대구광역시,대구칠성하늘채점,대구 북구 칠성동2가 723
서울특별시,이태원경리단길점,서울 용산구 회나무로13길 5
전라남도,전남무안읍점,전남 무안군 무안읍 하마로15 상가동 102호
경기도,안산고잔역점,경기 안산시 단원구 광덕4로 102 신원프라자 1층 116호
충청남도,천안입장점,충청남도 천안시 서북구 입장면 하장4길 2 (하장리 45-27) 12층
대전광역시,대전문화점,대전 문화동 571-1 1층
부산광역시,부산북구빙산센터점,부산 북구 금곡대로 48 (덕천동 310-10)
인천광역시,인천논현에코점,인천 광역시 남동구 논현동 768-1
경기도,여주중앙점,경기 여주시 세종로 17-1
경기도,수원고색산업단지점,경기소 수원시 권선구 산업로 180 104호 (고색동 DH테크타워)
서울특별시,삼양시장점,서울 강북구 미아동 867-118
충청남도,보령동대점,충청남도 보령시 작은오랏4길 15-22
충청북도,청주용암현대점,충북 청주시 상당구 월평로184번길 147  
대구광역시,대구범물시티월드점,대구 수성구 지범로 183
대전광역시,대전장대점,대전 유성구 장대동 352-10
서울특별시,장안현대홈타운점,서울 동대문구 장안벚꽃로 107 (장안동 장안현대홈타운) 1층 109호
경기도,평택고덕로데오점,경기 평택시 고덕갈평6길 27 (고덕동) 121호
인천광역시,인천검단블루텍점,인천광역시 서구 오류동 1657-2 (1층 110호)
서울특별시,가좌역점,서울 서대문구 수색로2길 39 (남가좌동 DMC금호리첸시아) 1층 106호
강원도,강릉주문진점,강원도 강릉시 주문진읍 항구로 65 1층
인천광역시,백운현대점,인천 부평구 경원대로 1238 이화빌딩 1층
서울특별시,목동41타워점,서울시 양천구 목동동로 293 1층 1-10호(목동 현대41타워)
서울특별시,논현영동시장점,서울 강남구 논현동 164-11(강남대로 506) 1층 109호
경기도,구리인창점,경기 구리시 인창동 412-12 (건원대로91)
대구광역시,대구내당점,대구 서구 내당동 219-15번지 1층
전라북도,익산부송오투점,익산 부송동 216-84 101호/102호
경기도,남양주사능점,경기 남양주시 진건읍 용정리 768-7(사릉로442번길 25) 1층 101호
서울특별시,천호힐데스하임점,서울 강동구 올림픽로 78길 30 (천호동 437-5) 힐데스하임천호 근생 8 9호
전라북도,전주에코세병호점,전라북도 전주시 덕진구 송천동2가 1301-2
